S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,122,336,"26,936","1,37,867"
1,Ankula,20,30,"2,097","9,227"
2,Atharabatia,6,7,"1,217","5,258"
3,Badkul,9,17,"1,796","8,067"
4,Baulabandha,1,25,"1,496","9,066"
5,Biribadi,2,17,"1,267","6,459"
6,Chandeswar,9,23,"1,439","7,695"
7,Dungamal (ct),5,13,"1,638","9,041"
8,Haripur,10,42,"1,928","9,511"
9,Hatabaradihi,3,11,"1,578","6,911"
10,Jaripada,8,18,"1,849","9,953"
11,Kalakaleswar,8,18,978,"6,584"
12,Kumandal Patana,10,31,"1,286","8,229"
13,Mansinghpur,1,1,"1,273","5,228"
14,Nairi,3,21,"1,463","7,256"
15,Nimikheta,11,18,"1,411","6,528"
16,Singheswar,14,24,"2,199","10,633"
17,Sorona,2,20,"2,021","12,221"
,Total,122,336,"26,936","1,37,867"
